이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
정의윤,18  RF,-0.64,239,11,0.272,0.335,0.465,0.02,30000
김상수,18  SS,0.22,499,10,0.263,0.314,0.362,0.0,24000
이영욱,18  CF,0.06,16,0,0.125,0.125,0.125,0.0,6500
김정후,18  P,0.0,1,0,0.0,0.0,0.0,-0.02,3500
김응민,18  C,0.0,1,0,0.0,0.0,0.0,-0.02,3000
강지광,18  P,0.0,1,0,0.0,0.0,0.0,-0.02,3000
이윤재,18  C,0.0,1,0,0.0,0.0,0.0,-0.02,3000
김재현,18  SS,-0.01,1,0,0.0,0.0,0.0,-0.03,4500
김민수,18  C,0.03,6,0,0.167,0.167,0.167,-0.04,3300
배정대,18  CF,0.0,5,0,0.2,0.2,0.2,-0.05,3800
김성윤,18  LF,0.0,2,0,0.0,0.0,0.0,-0.05,3000
김사훈,18  C,0.08,79,0,0.23,0.25,0.27,-0.05,4000
이인행,18  RF,-0.04,1,0,0.0,0.0,0.0,-0.06,3200
김용의,18  1B,0.12,185,0,0.233,0.298,0.245,-0.07,9000
장시윤,18  SS,-0.02,2,0,0.0,0.0,0.0,-0.08,3600
김지열,18  RF,-0.13,48,1,0.2,0.25,0.356,-0.09,4000
김영환,18  3B,-0.01,4,0,0.0,0.0,0.0,-0.12,3000
황경태,18  SS,-0.09,13,0,0.231,0.231,0.385,-0.12,2800
윤진호,18  SS,0.08,61,0,0.208,0.263,0.264,-0.12,4200
송민섭,18  LF,0.31,29,0,0.148,0.179,0.148,-0.13,3000
정현,18  3B,-0.18,132,2,0.265,0.317,0.376,-0.14,7800
김주형,18  3B,-0.01,8,0,0.125,0.125,0.125,-0.16,7500
권정웅,18  C,-0.05,8,0,0.0,0.0,0.0,-0.16,4500
허정협,18  RF,-0.11,24,0,0.25,0.25,0.333,-0.18,4500
남태혁,18  1B,-0.03,11,0,0.182,0.182,0.182,-0.2,3300
박정음,18  LF,0.05,17,1,0.063,0.118,0.25,-0.2,5500
예진원,18  CF,0.0,7,0,0.143,0.143,0.143,-0.2,2700
강진성,18  3B,0.1,75,0,0.235,0.274,0.279,-0.21,3000
김재율,18  3B,-0.16,41,0,0.222,0.317,0.306,-0.21,6800
홍성갑,18  LF,0.04,8,0,0.0,0.0,0.0,-0.24,3000
윤병호,18  RF,-0.07,37,0,0.182,0.25,0.212,-0.25,3500
오정복,18  LF,-0.05,7,0,0.0,0.0,0.0,-0.26,7000
박헌도,18  LF,-0.08,31,0,0.115,0.258,0.154,-0.26,7200
임훈,18  RF,0.03,88,2,0.229,0.256,0.337,-0.26,7000
김지수,18  SS,-0.05,39,0,0.147,0.256,0.147,-0.27,6200
정경운,18  SS,0.08,16,0,0.067,0.063,0.067,-0.28,3300
이흥련,18  C,-0.09,7,0,0.0,0.0,0.0,-0.29,7500
조용호,18  LF,0.05,14,0,0.077,0.077,0.077,-0.3,6200
이성우,18  C,0.05,134,0,0.242,0.292,0.283,-0.32,9000
주효상,18  C,0.29,126,1,0.218,0.295,0.273,-0.33,3500
신성현,18  3B,-0.1,27,1,0.167,0.222,0.292,-0.33,5700
박찬도,18  CF,-0.34,82,0,0.233,0.309,0.315,-0.37,5000
황진수,18  3B,-0.25,26,1,0.167,0.231,0.333,-0.39,6200
김태완,18  DH,0.0,74,1,0.197,0.27,0.273,-0.4,6000
오준혁,18  LF,0.08,50,0,0.136,0.204,0.136,-0.41,4200
서건창,17  2B,0.33,615,6,0.332,0.403,0.429,4.51,40000
버나디나,17  CF,-0.95,621,27,0.32,0.372,0.54,4.17,75000
박해민,17  CF,1.63,638,7,0.284,0.338,0.393,3.8,23000
김민성,17  3B,1.45,530,15,0.282,0.345,0.436,3.74,37000
에반스,17  1B,-0.63,581,27,0.296,0.372,0.49,3.35,68000
김문호,17  LF,0.42,448,2,0.292,0.372,0.356,1.73,14000
민병헌,17  RF,-1.3,520,14,0.304,0.389,0.445,1.69,55000
최재훈,17  C,1.69,309,1,0.257,0.34,0.305,1.63,5800
정성훈,17  1B,-0.21,321,6,0.312,0.4,0.428,1.6,30000
손주인,17  2B,0.75,334,5,0.279,0.329,0.374,1.6,20000
박동원,17  C,0.81,284,11,0.27,0.32,0.434,1.59,20000
류지혁,17  SS,1.24,330,3,0.259,0.317,0.36,1.54,5700
강한울,17  SS,1.26,448,0,0.303,0.344,0.34,1.48,9000
김호령,17  CF,0.86,105,1,0.267,0.343,0.389,1.42,9500
조수행,17  CF,0.86,52,0,0.277,0.346,0.319,0.94,3600
이범호,17  3B,-1.87,447,25,0.272,0.365,0.505,0.92,65000
정병곤,17  2B,0.86,82,2,0.216,0.275,0.297,0.79,3500
지석훈,17  2B,0.28,304,6,0.239,0.318,0.366,0.73,14900
전민수,17  RF,0.56,145,1,0.277,0.331,0.362,0.66,5000
나경민,17  CF,0.43,129,1,0.256,0.307,0.359,0.59,3600
강승호,17  SS,1.0,268,5,0.25,0.272,0.383,0.53,3500
한승택,17  C,0.76,91,0,0.229,0.289,0.277,0.53,3100
문규현,17  SS,0.36,337,6,0.27,0.295,0.391,0.35,12000
장민석,17  CF,0.59,327,1,0.278,0.311,0.318,0.31,10000
정훈,17  2B,-0.1,136,1,0.248,0.376,0.385,0.29,15000
박정음,17  LF,0.23,162,2,0.243,0.323,0.329,0.28,6600
최영진,17  3B,-0.01,22,1,0.2,0.238,0.55,0.25,3000
이홍구,17  C,0.54,110,10,0.188,0.239,0.515,0.22,10000
김준완,17  LF,0.32,144,0,0.25,0.331,0.282,0.21,7000
황윤호,17  2B,0.21,17,0,0.133,0.235,0.267,0.11,3000
서상우,17  LF,0.09,17,1,0.077,0.294,0.308,0.07,5500
이병규,17  LF,0.15,48,0,0.205,0.271,0.25,0.05,12000
임병욱,17  CF,-0.01,46,1,0.238,0.283,0.381,0.04,6500
이창열,17  2B,0.02,1,0,0.0,0.0,0.0,0.04,3200
최경철,17  C,-0.31,39,2,0.313,0.41,0.563,0.04,10000
최정민,17  2B,-0.01,9,0,0.333,0.333,0.444,0.02,5500
김용의,17  CF,0.02,189,0,0.268,0.344,0.329,0.02,12000
박성한,17  SS,0.12,4,0,0.0,0.0,0.0,0.02,2700
김인태,17  RF,0.22,44,2,0.186,0.205,0.349,0.01,3000
문선재,17  LF,-0.13,107,2,0.261,0.333,0.413,0.0,8000
최원제,17  1B,0.05,18,0,0.222,0.222,0.389,0.0,3300
이인행,17  2B,0.05,3,0,0.0,0.0,0.0,-0.01,3100
장준원,17  SS,0.04,5,0,0.0,0.0,0.0,-0.02,3200
전유수,17  P,0.01,1,0,0.0,0.0,0.0,-0.02,11000
유민상,17  1B,-0.05,33,1,0.233,0.303,0.367,-0.03,4500
이우성,17  RF,0.01,2,0,0.0,0.0,0.0,-0.04,2800
이종환,17  RF,0.01,2,0,0.0,0.0,0.0,-0.05,6000
강지광,17  RF,0.0,2,0,0.0,0.0,0.0,-0.05,3000
허도환,17  C,-0.06,49,1,0.225,0.326,0.375,-0.07,7800
정범모,17  C,-0.13,50,1,0.256,0.333,0.372,-0.07,5500
윤요섭,17  C,-0.1,43,2,0.231,0.302,0.41,-0.07,5600
이영욱,17  CF,0.01,4,0,0.0,0.0,0.0,-0.07,6500
신진호,17  C,0.04,12,0,0.083,0.083,0.167,-0.09,2700
김재현,17  CF,0.05,4,0,0.0,0.0,0.0,-0.09,7000
김지성,17  3B,-0.14,49,2,0.234,0.265,0.426,-0.11,3800
신종길,17  RF,0.01,90,1,0.241,0.278,0.361,-0.12,9800
김주현,17  LF,-0.04,4,0,0.0,0.0,0.0,-0.13,3400
강경학,17  SS,-0.04,93,0,0.214,0.29,0.262,-0.18,6200
최병연,17  3B,-0.14,2,0,0.0,0.0,0.0,-0.19,3300
임훈,17  RF,-0.09,85,0,0.293,0.318,0.305,-0.19,10000
고장혁,17  SS,0.07,40,0,0.237,0.231,0.316,-0.19,4300
윤병호,17  RF,0.05,58,0,0.2,0.228,0.255,-0.19,3000
우동균,17  RF,0.03,13,0,0.0,0.077,0.0,-0.2,5500
김재유,17  CF,-0.17,1,0,0.0,0.0,0.0,-0.21,3000
나성용,17  1B,-0.05,11,0,0.182,0.182,0.182,-0.22,3900
유재신,17  CF,-0.14,20,0,0.222,0.263,0.222,-0.26,6500
김사연,17  RF,-0.14,52,0,0.216,0.216,0.255,-0.28,4000
김혜성,17  2B,-0.21,17,0,0.188,0.235,0.313,-0.29,2700
김상호,17  DH,-0.08,114,0,0.228,0.316,0.277,-0.33,6000
황목치승,17  SS,-0.14,34,0,0.207,0.25,0.207,-0.34,5000
김연훈,17  SS,-0.06,26,0,0.167,0.16,0.25,-0.35,4100
김종민,17  C,-0.12,24,0,0.136,0.208,0.136,-0.36,5500
정현석,17  RF,-0.07,12,0,0.0,0.0,0.0,-0.37,7500
손아섭,16  RF,0.49,672,16,0.323,0.418,0.468,5.52,60000
대니돈,16  LF,-0.68,497,16,0.295,0.399,0.494,3.23,60000
박정권,16  1B,0.56,468,18,0.277,0.337,0.46,2.25,40000
문규현,16  SS,2.07,368,4,0.272,0.333,0.342,2.11,9000
이성열,16  DH,0.42,219,10,0.288,0.35,0.505,1.67,25000
박한이,16  RF,-0.63,401,14,0.301,0.372,0.481,1.53,45000
유한준,16  RF,-2.21,460,14,0.336,0.404,0.493,1.37,60000
강한울,16  SS,1.26,322,0,0.272,0.307,0.336,1.11,6000
허도환,16  C,1.06,93,0,0.218,0.315,0.321,1.1,7500
박재상,16  LF,0.09,288,6,0.298,0.363,0.431,1.0,20000
용덕한,16  C,1.0,116,2,0.212,0.272,0.298,0.58,8500
나주환,16  2B,-0.33,65,5,0.386,0.435,0.684,0.51,20000
김경언,16  RF,-0.27,217,5,0.264,0.363,0.39,0.49,20000
채태인,16  1B,-0.63,417,7,0.286,0.345,0.397,0.47,30000
김태완,16  DH,0.22,24,0,0.35,0.458,0.5,0.47,6000
신현철,16  3B,0.35,25,0,0.292,0.32,0.375,0.38,3000
김다원,16  LF,0.09,47,1,0.302,0.362,0.419,0.37,7000
우동균,16  RF,0.4,82,2,0.221,0.333,0.324,0.32,5500
김선빈,16  SS,0.09,27,0,0.36,0.385,0.52,0.32,8000
최진행,16  DH,-0.18,85,1,0.329,0.434,0.4,0.27,18500
김원섭,16  RF,0.17,90,0,0.219,0.348,0.288,0.26,15000
이정식,16  C,0.21,9,0,0.0,0.111,0.0,0.15,4500
오선진,16  3B,0.48,53,0,0.163,0.28,0.163,0.13,8000
심우준,16  SS,0.68,251,3,0.242,0.264,0.326,0.11,3500
황목치승,16  SS,0.59,39,0,0.179,0.179,0.256,0.1,4000
유재신,16  CF,0.12,74,0,0.258,0.361,0.258,0.1,6000
주효상,16  C,0.27,19,0,0.222,0.263,0.278,0.07,2700
이종환,16  RF,0.1,33,0,0.276,0.333,0.31,0.07,6200
한동민,16  1B,0.02,20,0,0.278,0.35,0.278,0.07,7000
김기현,16  CF,0.14,17,0,0.188,0.235,0.25,0.04,3000
홍성갑,16  LF,0.33,68,0,0.226,0.294,0.258,0.03,3200
김주현,16  LF,0.16,33,0,0.207,0.281,0.345,0.01,3300
백창수,16  3B,-0.19,21,1,0.333,0.429,0.611,0.01,4000
주현상,16  3B,0.05,8,0,0.25,0.25,0.25,0.0,3700
박성준,16  1B,0.03,1,0,0.0,0.0,0.0,0.0,3000
박세웅,16  C,0.02,1,0,0.0,0.0,0.0,-0.01,2700
정성곤,16  P,0.0,1,0,0.0,0.0,0.0,-0.02,3900
이태양,16  P,0.0,1,0,0.0,0.0,0.0,-0.02,6500
윤병호,16  RF,0.01,9,1,0.111,0.111,0.444,-0.03,2900
박노민,16  C,0.01,2,0,0.0,0.0,0.0,-0.03,4000
김대륙,16  SS,0.08,59,0,0.143,0.259,0.245,-0.03,3200
권희동,16  LF,-0.09,47,1,0.268,0.362,0.341,-0.04,6800
이상호,16  2B,-0.04,27,0,0.28,0.333,0.36,-0.05,4800
김주현,16  1B,0.01,3,0,0.0,0.0,0.0,-0.06,3300
최경철,16  C,0.21,52,0,0.156,0.24,0.2,-0.07,9000
정범모,16  C,0.04,4,0,0.0,0.0,0.0,-0.07,6000
윤진호,16  SS,0.14,23,0,0.19,0.19,0.19,-0.1,3300
김인태,16  RF,0.06,19,0,0.167,0.211,0.222,-0.12,2800
이상훈,16  RF,0.1,14,0,0.083,0.083,0.083,-0.12,3500
권용관,16  SS,-0.14,49,0,0.25,0.313,0.341,-0.14,8000
이영욱,16  CF,0.31,52,1,0.163,0.212,0.245,-0.15,5500
최주환,16  2B,-0.36,182,2,0.281,0.339,0.388,-0.15,11000
윤완주,16  2B,0.08,34,1,0.167,0.212,0.267,-0.16,3500
김민우,16  SS,-0.05,47,0,0.195,0.283,0.22,-0.17,12000
최재훈,16  C,-0.04,22,0,0.167,0.273,0.222,-0.18,6800
김지성,16  3B,-0.1,3,0,0.0,0.0,0.0,-0.2,3800
유서준,16  SS,0.02,7,0,0.0,0.0,0.0,-0.2,2900
이진석,16  CF,0.11,45,0,0.186,0.222,0.256,-0.22,2900
김영환,16  3B,-0.09,12,0,0.167,0.167,0.167,-0.25,3700
김지수,16  CF,-0.13,7,0,0.0,0.0,0.0,-0.25,5500
김민하,16  LF,-0.06,49,1,0.2,0.234,0.289,-0.26,4000
이우민,16  LF,-0.31,98,1,0.193,0.287,0.289,-0.29,7000
손용석,16  3B,0.08,99,0,0.244,0.278,0.3,-0.3,3400
정주현,16  LF,0.12,257,1,0.222,0.306,0.298,-0.32,5000
김태완,16  2B,-0.02,52,1,0.196,0.269,0.304,-0.34,6000
박찬호,16  SS,-0.06,46,0,0.167,0.222,0.167,-0.34,3700
안중열,16  C,-0.06,29,0,0.179,0.207,0.214,-0.36,4000
김민혁,16  LF,0.13,31,0,0.103,0.161,0.138,-0.36,4700
장운호,16  CF,-0.08,85,0,0.237,0.293,0.289,-0.38,4200
이호신,16  LF,0.08,43,0,0.154,0.19,0.205,-0.39,3600
최윤석,16  SS,-0.17,17,0,0.125,0.176,0.125,-0.4,5700
김진곤,16  CF,-0.26,8,0,0.125,0.125,0.125,-0.4,3500
