이름,연도,이닝,ERA,FIP,WHIP,war,연봉
최지광,18  P,8.2,11.42,4.83,2.08,-0.09,3100
이영준,18  P,2.0,22.5,6.5,4.5,-0.09,2900
허준혁,18  P,1.2,27.0,8.43,4.2,-0.10,8500
노성호,18  P,32.2,7.16,6.53,1.96,-0.10,4500
조정훈,18  P,4.1,16.62,5.75,2.31,-0.11,6100
이승현,18  P,17.0,7.94,6.73,1.76,-0.15,7000
강동연,18  P,11.2,5.4,6.64,1.29,-0.16,2800
백인식,18  P,14.1,9.42,7.82,1.81,-0.17,4000
이민우,18  P,37.2,7.17,6.06,1.99,-0.18,3500
변진수,18  P,10.2,10.13,6.45,1.69,-0.19,6000
김주한,18  P,6.0,13.5,9.33,2.5,-0.19,9000
박정수,18  P,13.1,11.48,4.99,1.65,-0.19,3300
하영민,18  P,16.1,7.71,6.52,2.27,-0.19,5500
정재원,18  P,2.1,30.86,5.68,3.86,-0.20,4000
박진형,18  P,13.0,6.23,5.29,2.38,-0.21,10500
최금강,18  P,37.1,8.44,7.68,1.96,-0.21,12500
윤근영,18  P,16.2,9.72,5.8,2.16,-0.22,4200
홍건희,18  P,16.2,10.26,6.56,2.34,-0.23,8000
임지섭,18  P,4.2,25.07,14.5,3.86,-0.23,3700
장현식,18  P,26.2,7.43,7.2,1.8,-0.23,10200
최대성,18  P,10.0,11.7,7.59,2.3,-0.25,3500
박시영,18  P,26.1,8.54,7.02,1.86,-0.26,6300
문광은,18  P,6.2,12.15,10.15,2.4,-0.26,6000
최원준,18  P,9.1,10.61,7.22,2.36,-0.28,7500
유원상,18  P,47.1,6.46,5.39,1.69,-0.29,6000
정찬헌,18  P,65.0,4.85,4.77,1.54,-0.33,9500
윤성환,17  P,174.1,4.28,4.77,1.25,5.84,80000
팻딘,17  P,176.0,4.14,4.61,1.42,4.94,70000
유희관,17  P,188.2,4.53,4.9,1.43,3.41,50000
임창민,17  P,66.0,3.68,4.79,1.26,1.52,22500
신재웅,17  P,31.0,3.19,4.52,1.23,0.77,12000
조상우,17  P,44.1,4.87,3.59,1.53,0.74,15000
이용찬,17  P,71.2,4.4,4.35,1.53,0.69,18000
이민호,17  P,88.2,4.06,4.35,1.33,0.65,16000
심동섭,17  P,50.2,5.68,4.19,1.68,0.51,11000
이재학,17  P,119.0,5.67,5.36,1.54,0.44,20000
안영명,17  P,87.2,5.75,5.16,1.72,0.42,20000
윤지웅,17  P,35.0,3.86,5.06,1.4,0.37,9500
이보근,17  P,52.2,5.47,4.49,1.5,0.36,15000
임정호,17  P,30.1,4.45,4.3,1.45,0.35,8700
임준혁,17  P,45.1,4.57,5.52,1.83,0.23,10000
정인욱,17  P,32.0,9.84,7.19,1.88,0.15,7200
양훈,17  P,16.1,7.16,5.5,1.78,0.13,9500
정대현,17  P,66.1,7.06,6.74,1.72,0.11,12000
신승현,17  P,3.2,0.0,4.37,0.27,0.10,10000
이승현,17  P,31.2,5.12,7.87,1.83,0.09,6200
유재유,17  P,5.0,3.6,6.19,2.0,0.07,3000
최성훈,17  P,22.0,4.09,5.58,1.64,0.06,4500
성영훈,17  P,1.0,0.0,7.31,1.0,0.05,2700
손동욱,17  P,1.0,0.0,4.81,1.0,0.04,2800
김세현,17  P,50.0,5.4,3.8,1.6,0.04,16000
고봉재,17  P,1.0,0.0,7.31,3.0,0.04,4400
여건욱,17  P,3.1,0.0,3.82,2.1,0.04,4000
박종윤,17  P,4.0,6.75,6.06,2.0,0.02,9100
이용호,17  P,0.1,27.0,22.81,12.0,-0.01,2800
이태양,17  P,59.0,7.17,6.87,1.78,-0.01,8300
이명우,17  P,26.2,5.74,5.19,1.54,-0.01,11000
민태호,17  P,8.2,6.23,5.35,1.5,-0.02,3300
임진우,17  P,1.0,27.0,4.81,5.0,-0.03,3200
유원상,17  P,7.1,6.14,5.98,1.64,-0.04,6000
김홍빈,17  P,7.1,7.36,4.53,2.18,-0.04,2700
김성배,17  P,44.0,5.32,5.55,1.27,-0.04,15000
김찬호,17  P,5.1,11.81,4.88,2.81,-0.05,2900
박경태,17  P,4.0,9.0,4.66,2.5,-0.06,4900
허건엽,17  P,8.1,8.64,5.48,2.04,-0.06,3300
홍건희,17  P,59.0,6.41,4.69,1.76,-0.06,9000
최원재,17  P,2.0,13.5,10.76,3.5,-0.06,3700
안규영,17  P,5.1,13.5,6.98,2.81,-0.08,4000
조무근,17  P,14.2,7.36,5.14,1.64,-0.08,5700
김현우,17  P,10.2,9.28,7.54,1.69,-0.09,5500
이수민,17  P,2.2,10.13,5.59,1.88,-0.09,3000
박근홍,17  P,15.1,9.39,6.71,1.76,-0.10,10000
고원준,17  P,9.1,10.61,5.26,2.68,-0.11,6800
배재환,17  P,8.0,9.0,11.23,2.38,-0.12,4000
김건태,17  P,6.0,12.0,5.14,2.5,-0.14,4200
홍성무,17  P,6.1,12.79,7.44,2.68,-0.15,3000
황덕균,17  P,15.0,9.6,7.37,1.93,-0.16,3500
박주현,17  P,2.1,34.71,13.29,5.14,-0.16,5500
박지훈,17  P,14.0,7.07,5.49,1.79,-0.17,5000
최성영,17  P,11.1,9.53,9.1,2.12,-0.18,2900
정수민,17  P,28.0,6.75,6.56,1.68,-0.18,3700
김진우,17  P,36.1,7.93,6.79,2.06,-0.19,12000
김지용,17  P,53.0,5.09,6.16,1.38,-0.19,10000
임대한,17  P,14.0,9.0,7.76,2.93,-0.19,3700
전유수,17  P,20.2,6.53,4.76,1.98,-0.20,11000
배힘찬,17  P,3.1,29.7,11.92,3.6,-0.21,3300
배우열,17  P,34.1,8.65,5.4,1.95,-0.21,4600
문광은,17  P,44.2,7.05,4.84,1.59,-0.25,4500
최동환,17  P,38.0,5.68,6.62,1.42,-0.26,6000
최금강,17  P,89.2,7.33,6.37,1.62,-0.27,14000
김민우,17  P,7.1,17.18,7.93,3.55,-0.29,3800
정영일,17  P,8.0,10.13,10.76,2.25,-0.31,4000
이현호,17  P,30.0,5.7,6.45,2.07,-0.37,6000
신정락,17  P,59.0,5.34,4.24,1.44,-0.41,7500
김범수,17  P,31.0,8.71,8.3,2.16,-0.42,3300
해커,16  P,140.2,3.45,4.21,1.16,4.84,60000
레일리,16  P,184.2,4.34,4.73,1.4,4.79,63000
보우덴,16  P,180.0,3.8,4.18,1.18,4.76,65000
스튜어트,16  P,150.0,4.56,4.45,1.43,3.61,50000
소사,16  P,199.0,5.16,4.35,1.49,2.54,50000
채병용,16  P,83.2,4.3,4.67,1.27,1.72,25000
카스티요,16  P,84.0,6.43,5.29,1.74,1.11,20000
로위,16  P,60.0,6.3,4.87,1.88,0.93,17000
마정길,16  P,63.2,4.1,5.92,1.49,0.82,20000
노경은,16  P,94.2,6.85,6.24,1.86,0.58,20000
박근홍,16  P,41.0,7.46,5.52,1.68,0.38,11000
김진우,16  P,15.0,4.8,6.4,1.4,0.35,12000
심동섭,16  P,37.2,6.45,5.69,1.75,0.35,14000
김건한,16  P,9.2,3.72,4.94,1.24,0.28,6000
조무근,16  P,38.2,8.61,6.18,2.22,0.28,8500
김선규,16  P,15.1,2.93,5.86,1.83,0.27,6000
홍성민,16  P,42.1,4.46,5.05,1.44,0.26,12000
정찬헌,16  P,8.0,3.38,4.54,1.25,0.19,5100
김정인,16  P,2.0,0.0,9.19,3.0,0.12,3000
최성영,16  P,4.2,1.93,3.43,2.14,0.12,2700
김강률,16  P,28.0,5.14,5.32,1.71,0.12,6200
전유수,16  P,54.1,5.13,5.08,1.77,0.10,13000
김민수,16  P,8.0,6.75,5.02,2.13,0.09,3200
이동걸,16  P,5.0,5.4,9.74,1.6,0.07,5200
고효준,16  P,46.0,6.07,4.99,1.8,0.07,8000
김윤환,16  P,1.0,0.0,7.34,1.0,0.04,2700
전병두,16  P,0.1,0.0,4.24,0.0,0.03,5000
강동연,16  P,7.2,8.22,7.82,1.96,0.00,2800
홍영현,16  P,6.1,7.11,6.69,2.37,0.00,2700
임서준,16  P,6.1,5.68,4.13,2.05,0.00,2700
유재훈,16  P,0.1,0.0,15.34,6.0,-0.01,2700
곽정철,16  P,27.1,7.9,6.81,2.05,-0.01,5500
김원중,16  P,7.2,9.39,8.95,1.96,-0.01,3600
윤근영,16  P,4.0,6.75,8.27,2.75,-0.02,6200
차재용,16  P,2.2,20.25,13.35,2.63,-0.03,2800
이경우,16  P,2.0,13.5,8.94,1.5,-0.03,2800
강윤구,16  P,1.0,18.0,19.24,2.0,-0.03,8000
강승현,16  P,8.1,9.72,6.86,2.28,-0.03,2900
박상혁,16  CF,2.1,7.71,10.11,2.57,-0.04,2700
유창식,16  P,1.1,20.25,27.12,6.0,-0.04,6000
한승혁,16  P,33.1,4.86,4.94,1.65,-0.04,7000
정재원,16  P,21.1,7.59,4.79,1.73,-0.04,3700
함덕주,16  P,8.2,6.23,6.16,2.42,-0.04,10000
강장산,16  P,2.1,11.57,17.36,2.57,-0.05,3000
금민철,16  P,26.1,5.13,4.8,1.71,-0.06,7900
신용운,16  P,8.0,3.38,4.77,2.0,-0.06,5500
배힘찬,16  P,5.2,7.94,7.1,1.76,-0.06,3300
최원재,16  P,9.1,8.68,3.9,1.71,-0.06,4600
이재우,16  P,25.1,6.04,8.65,1.89,-0.06,9000
이정훈,16  P,18.0,7.0,5.97,2.06,-0.09,4900
이상화,16  P,32.2,7.99,5.9,1.99,-0.10,5000
진해수,16  P,54.0,4.67,4.91,1.74,-0.10,9500
김택형,16  P,28.1,7.62,4.88,1.84,-0.11,4400
오현택,16  P,20.2,6.1,4.66,1.55,-0.14,11000
조승수,16  P,8.1,10.8,9.47,2.04,-0.15,2900
이성민,16  P,68.2,7.08,6.33,1.91,-0.15,9500
조현근,16  P,5.1,13.5,8.68,2.81,-0.17,4500
한기주,16  P,56.2,7.62,7.22,1.96,-0.19,6500
장진용,16  P,5.1,20.25,13.48,2.81,-0.20,5000
윤지웅,16  P,44.0,6.55,4.63,1.5,-0.21,12500
